,행정구역,2011년 65세이상 인구 비율,2012년 65세이상 인구 비율,2013년 65세이상 인구 비율,2014년 65세이상 인구 비율,2015년 65세이상 인구 비율,2016년 65세이상 인구 비율,2017년 65세이상 인구 비율,2018년 65세이상 인구 비율,2019년 65세이상 인구 비율,2020년 65세이상 인구 비율
94,강원도 평창군,19.93024,20.61109,21.33926,21.82776,22.28506,22.7088,24.13209,25.0528,26.59953,28.11106
95,강원도 정선군,19.85516,20.50608,21.26547,22.09004,22.63439,23.26566,24.43874,25.22016,26.39317,27.73027
96,강원도 철원군,16.93495,17.67637,18.35359,18.69931,18.56595,18.97819,19.63336,20.39084,21.56458,22.58309
97,강원도 화천군,18.07978,18.39728,18.61318,17.65096,17.84234,18.29881,19.00699,20.18817,21.34687,22.34963
98,강원도 양구군,17.0608,17.04899,16.99161,16.95831,16.94549,17.10954,17.86868,18.47232,19.7373,20.84248
99,강원도 인제군,16.30278,16.62559,16.82812,17.05004,16.75838,17.12103,17.98232,18.71421,19.55671,20.5403
100,강원도 고성군,21.44592,21.90944,22.24159,22.75595,23.27345,23.74643,24.30983,26.3502,28.09611,29.48445
101,강원도 양양군,21.9884,22.97317,23.8078,24.5776,25.19015,25.64847,26.88279,27.63009,28.65541,29.56335
102,대전광역시 동구,11.74603,12.31142,12.90549,13.71241,14.60979,15.22095,16.15506,16.87861,17.91278,18.82723
103,대전광역시 중구,11.72345,12.37369,13.01673,13.86633,14.63195,15.23545,16.21079,17.03004,18.15089,19.10119
104,대전광역시 서구,7.65782,8.09083,8.51745,9.01877,9.57261,9.9957,10.63108,11.18819,11.88661,12.55085
105,대전광역시 유성구,6.35088,6.49697,6.7268,6.90708,7.20344,7.42202,7.86963,8.3533,8.92513,9.40262
106,대전광역시 대덕구,8.85463,9.33744,9.88696,10.46299,11.12534,11.82378,12.75107,13.6254,14.70872,15.65784
107,세종특별자치시,,15.21787,14.70124,12.66741,10.62148,9.95565,9.58622,9.28863,9.3809,9.75679
108,세종특별자치시,,15.21787,14.70124,12.66741,10.62148,9.95565,9.58622,9.28863,9.3809,9.75679
109,충청북도 청주시,8.26774,8.6226,8.99222,10.34827,10.6569,10.96184,11.54669,12.03714,12.67,13.23643
110,충청북도 청주시 상당구,9.67714,10.1546,10.46529,12.53893,13.03451,13.57275,14.35175,14.63539,15.30681,15.42221
111,충청북도 청주시 서원구,,,,10.18124,10.72599,11.13992,11.83585,12.70988,13.74447,14.81039
112,충청북도 청주시 흥덕구,7.45756,7.7588,8.14268,8.6459,8.8949,9.25174,9.76165,10.17452,10.5647,10.96307
