행정구역,2011년_계_총인구수,2011년_계_연령구간인구수,2012년_계_총인구수,2012년_계_연령구간인구수,2013년_계_총인구수,2013년_계_연령구간인구수,2014년_계_총인구수,2014년_계_연령구간인구수,2015년_계_총인구수,2015년_계_연령구간인구수,2016년_계_총인구수,2016년_계_연령구간인구수,2017년_계_총인구수,2017년_계_연령구간인구수,2018년_계_총인구수,2018년_계_연령구간인구수,2019년_계_총인구수,2019년_계_연령구간인구수,2020년_계_총인구수,2020년_계_연령구간인구수
부산광역시 동구,100420,17316,98529,17991,96011,18734,94565,19493,92069,19945,89826,20334,88868,21076,86912,21407,88165,22257,89410,23199
부산광역시 영도구,143205,22577,139765,23663,135816,24625,132102,25637,129385,26419,126362,27192,123521,28293,120109,29072,116711,30116,114252,31195
부산광역시 부산진구,395044,49078,392731,51572,389765,54218,387378,56777,381572,58579,376526,60541,371703,62942,362357,64599,357880,67133,357558,69955
부산광역시 동래구,283742,31448,278767,33132,276689,35153,275971,37045,272837,38437,272745,40349,270727,42697,266515,44255,271247,46863,271980,49430
부산광역시 남구,295121,36216,291175,38346,291770,40543,286989,42392,283101,44110,278779,45778,273854,47964,279917,50151,274480,51717,269251,53443
부산광역시 북구,307988,28464,312937,30373,309719,32212,306974,34057,310484,36451,310202,38522,302924,41000,296952,43125,291132,45908,286327,48536
부산광역시 해운대구,425618,43898,428188,46662,425536,49353,423531,51970,422818,54547,419853,56854,412039,59949,409347,62825,406102,66218,402749,69432
부산광역시 사하구,355443,35634,352726,37748,349110,40007,343371,42209,337781,44389,334603,46778,333301,50261,327791,52805,321004,55964,314728,58838
부산광역시 금정구,254720,30643,255692,32560,253526,34397,249856,36090,246026,37649,244624,39482,244469,42011,242956,44382,239062,46642,234135,48378
부산광역시 강서구,64733,9149,65806,9550,69873,9947,79619,10593,94608,11429,108909,12348,117382,13205,122957,14090,129566,15183,135330,16256
부산광역시 연제구,213326,24878,211536,26353,209290,27994,208012,29397,210718,31042,207268,31832,206742,33600,207840,35526,209395,37891,210362,39974
부산광역시 수영구,176691,23269,176666,24892,175098,26394,178480,28266,179795,29695,179324,30831,179996,32621,176246,33784,176148,35661,177266,37211
부산광역시 사상구,254413,23085,250424,24495,246797,26174,242953,27712,237711,29182,232800,30561,229219,32715,223361,34306,218094,36409,214345,38389
부산광역시 기장군,108095,13895,114566,15114,132507,16874,144748,18422,153093,19769,158527,21056,161651,22649,164864,24049,164716,25348,172774,27116
대구광역시,2507271,260038,2505644,274152,2501588,289246,2493264,303537,2487829,316122,2484557,328901,2475231,347459,2461769,362934,2438031,379277,2426849,396395
대구광역시 중구,76600,12842,75439,13371,76246,14053,78812,14745,80928,15200,79712,15343,78986,15531,79401,15566,77421,15597,77030,15835
대구광역시 동구,341206,43363,342092,45927,343802,48748,347975,51318,349728,53511,351352,55767,349379,58893,351291,61656,345469,64014,343233,66845
대구광역시 서구,222619,26117,220211,27670,215399,29148,210770,30708,206028,31863,199507,33038,191992,34758,184372,35821,175277,36752,171947,38279
대구광역시 남구,169095,24664,168715,25878,166062,27208,163492,28433,160852,29326,156433,29974,152845,31132,150501,32158,148113,32987,146864,34014
대구광역시 북구,449775,40393,448485,42526,444359,44732,444375,47172,443119,49129,440383,51156,441375,54257,439489,56894,437710,60120,440500,63116
대구광역시 수성구,461083,46261,459779,48595,461004,50962,456505,52823,451786,54596,447011,56431,439211,58905,432759,61089,428614,63474,425949,66043
대구광역시 달서구,606542,48206,606557,51152,610358,54500,606433,57576,602641,60271,591891,62977,578068,67033,573413,70983,568887,75775,562972,79742
대구광역시 달성군,180351,18192,184366,19033,184358,19895,184902,20762,192747,22226,218268,24215,243375,26950,250543,28767,256540,30558,258354,32521
인천광역시 ,2801274,250528,2843981,267059,2879782,282471,2902608,297951,2925815,312905,2943069,324255,2948542,345024,2954642,362675,2957026,384548,2942553,405556
인천광역시 중구,93581,11558,98648,12766,107774,13993,111929,14878,114493,15410,115249,15737,117999,16643,122499,17482,135135,19076,139299,20236
인천광역시 동구,78692,10772,76720,11250,75093,11666,73978,12108,72571,12465,71014,12639,69487,13168,66233,13254,64427,13751,62957,14278
인천광역시 미추홀구,417996,45947,414500,48523,411330,50852,408305,53231,404893,55214,417103,57437,419267,60758,416542,62833,408862,65642,403500,68388
인천광역시 연수구,287903,20535,292589,21640,300305,22994,310703,24357,319052,25593,328627,26893,335142,28922,346359,31227,366550,34346,380980,37220
인천광역시 남동구,495469,39565,503597,42370,507021,44892,514656,47905,531395,51768,530982,53961,536578,58429,537161,62248,532704,66423,527515,70425
인천광역시 부평구,560936,48651,559047,51401,556985,53902,556992,56601,555844,59354,549716,60940,539941,63959,524640,66424,511577,69549,497902,72533
인천광역시 계양구,344299,23334,342202,24684,343806,26219,339538,27490,334332,28611,330284,29762,323784,31729,312680,33119,303471,35043,297540,37286
인천광역시 서구,436134,29798,469887,33059,490035,35832,498686,38343,504606,40711,510733,42719,516017,46129,538596,49975,544556,53691,543365,57135
인천광역시 강화군,66779,16579,66752,17363,66735,18002,67118,18736,67667,19308,68010,19600,68754,20451,68896,21148,69178,21902,69070,22637
인천광역시 옹진군,19485,3789,20039,4003,20698,4119,20703,4302,20962,4471,21351,4567,21573,4836,21036,4965,20566,5125,20425,5418
광주광역시,1463464,136411,1469216,144732,1472910,151874,1475884,159822,1472199,166389,1469214,172572,1463770,180862,1459336,187186,1456468,195479,1453952,203539
광주광역시 동구,106495,16887,105580,17758,103016,18297,100786,18919,98784,19340,95791,19413,95448,20047,94475,20337,98585,21138,100993,21890
광주광역시 서구,317936,27681,316545,29295,315276,30799,310317,32286,305028,33555,309579,35214,306957,36991,304172,38468,300975,40246,298030,42009
광주광역시 남구,219041,25056,218313,26553,216254,27780,219815,29591,221318,30921,219729,32184,218454,33727,216369,34677,218060,36162,215266,37379
광주광역시 북구,444483,41287,443677,44097,445489,46660,447685,49182,446316,51519,441066,53694,438780,56532,439773,58793,433533,61446,432525,64158
광주광역시 광산구,375509,25500,385101,27029,392875,28338,397281,29844,400753,31054,403049,32067,404131,33565,404547,34911,405315,36487,407138,38103
대전광역시,1515603,135740,1524583,142979,1532811,150651,1531809,158329,1518775,165528,1514370,171568,1502227,180667,1489936,188530,1474870,198691,1469099,208290
대전광역시 동구,251285,29516,251945,31018,250653,32348,245493,33663,239579,35002,234959,35763,230516,37240,229071,38664,226771,40621,223368,42054
대전광역시 중구,265502,31126,264125,32682,264913,34483,261165,36214,256186,37485,252490,38468,248933,40354,244421,41625,240473,43648,237425,45351
